title_of_work,year_of_creation,image_of_work,artist_name,work_url,artists_url,biological,environmental,of_non_living,commercial,personal,social,state,closed,open,shared,live,real_time,geospatial,static,temporal,anecdata,causal,generated,metadata,processed,retrieved,streamed,anonymised,identifiable,unknown,approved,of_other,notes,submitted_by
"Three flames ate the sun and a big sun was seen",2012,phil_archer_three_flames_cropped_small.jpg,"Phil Archer",http://www.theodi.org/culture/three-flames-ate-sun-and-big-stars-were-seen-2012,http://philarcher.net/,,environmental,,,,,,,,shared,,,geospatial,,temporal,anecdata,,,metadata,,retrieved,,,identifiable,,yes,,"anecdata included here as some of the solar eclipse dates were established by looking at ancient chinese paintings",
Lepidopteral,2012,lepidopteral_single_lores.jpg,"Julie Freeman",http://www.translatingnature.org/lepidopteral,http://www.translatingnature.org/,,environmental,,,,,,,,shared,live,real-time,geospatial,,temporal,,,,,,,streamed,,identifiable,,yes,,,
"Hylozoic Ground",2010,beasley.png,"Philip Beasley",http://www.hylozoicground.com/Venice/,http://www.philipbeesleyarchitect.com/,,environmental,,,,,,,,,,real-time,,,,,,generated,,processed,,,,,,yes,,"Environmental is selected - as in data from the environment the work is in.",
"Manta Rhei",2012,artcom_mantarhei.png,art+com,http://artcom.de/en/project/manta-rhei/,http://www.artcom.de/,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"not really data art, more kinetic sculpture",
Canopy,2010,uva_canopy.png,"United Visual Artists",http://www.uva.co.uk/work/canopy,http://www.uva.co.uk/,biological,,,,,,,,,,,,,,,,,generated,,,,,anonymised,,,yes,,,
"Patterned by Nature",2012,screen_shot_2015-08-17_at_15-55-14.png,"Plebian Design; Hypersonic Design & Engineering; Sosolimited",http://vimeo.com/41009719,"plebiandesign.com; hypersoniced.com; sosolimited.com",biological,environmental,,,,,,,,,live,,,,temporal,,,generated,,processed,,,,,,yes,,"The generated data are models of natural systems.",
"Data Morphose",2009,keller.jpg,"Christiane Keller",http://www.christianekeller.de/datamorphose/,http://www.christianekeller.de/,,,,,,,,,open,shared,live,real-time,geospatial,,temporal,,,,metadata,processed,retrieved,,,,unknown,yes,,,
Crash!,2012,jerram_nyse-glass.png,"Luke Jerram",http://www.lukejerram.com/projects/stock_exchange_sculptures,http://www.lukejerram.com/,,,,commercial,,,,,,shared,,,,static,temporal,,,,,,retrieved,,,identifiable,,yes,,"Stock Exchange Sculptures",
"Warm Winter",2007,weather07.jpg,"Nathalie Meibach",http://nathaliemiebach.com/weather07.html,http://nathaliemiebach.com/,,environmental,,,,,,,,shared,live,,geospatial,,temporal,,,,,,retrieved,,,identifiable,,yes,,,
"The Lake",2005,thelake_animation_export_lores.jpeg,"Julie Freeman",http://www.translatingnature.org/lake,http://www.translatingnature.org/,biological,,,,,,,closed,,,live,real-time,geospatial,,temporal,,,,,,,streamed,,identifiable,,yes,,,
"Invisible Airs",2011,yoha_rider_colour.jpg,"YoHa (Graham Harwood & Matsuko Yokokoji)",http://yoha.co.uk/invisible,http://yoha.co.uk,,,,,,,state,,open,,,,,static,,,,,metadata,,,,,,unknown,yes,,,
20Hz,2011,20hzcropped_smaller.jpg,Semiconductor,http://semiconductorfilms.com/art/20hz/,www.semiconductorfilms.com,,environmental,,,,,,,,shared,live,,geospatial,,temporal,,causal,,,processed,,,,identifiable,,yes,,"solar storm data from the Earth's upper atmosphere",
"The Telegarden",1995,telegarden-8x6-72dpi.jpg,"Ken Goldberg; Joseph Santarromana",http://goldberg.berkeley.edu/garden/Ars/,http://goldberg.berkeley.edu/,biological,environmental,,,,,,,,,,real-time,,,temporal,,causal,,,,,streamed,,identifiable,,yes,,,
"Most Blue Skies",2010,mostblueskies.jpg,"Lise Autogena, Joshua Portway",http://www.autogena.org/mbs.html,http://www.autogena.org,,environmental,,,,,,,open,,live,real-time,geospatial,,temporal,,,,,processed,,,,identifiable,,yes,,,
"Plane Truth",2013,screen_shot_2016-08-16_at_17-08-17.png,"David McCandless",http://www.davidmccandless.com/design_work/#plane-truth,http://www.davidmccandless.com,,,object,,,social,,,open,,,,geospatial,,temporal,,,,,processed,retrieved,,,,,yes,,,Lily
"Amsterdam SMS",2007,screen_shot_2016-08-16_at_16-51-04.png,"Aaron Koblin",http://www.aaronkoblin.com/project/amsterdam-sms/,http://www.aaronkoblin.com,,environmental,,,,social,,,,shared,live,,,,,,,,,processed,retrieved,,,identifiable,,yes,,,Lily
"7 days of a man the 25",2015,7_days_men_age_25.jpg,"Laurie Frick",http://www.lauriefrick.com/7-days/sldhmc30nidn9yo3z36r4l9o7nehea,http://www.lauriefrick.com,biological,,,,personal,,,,,shared,,,,static,,anecdata,,,,,,,anonymised,,,yes,,,Tess
"Living Data",2014,screen_shot_2016-08-16_at_16-06-03.png,"Michael Takeo Magruder",http://www.takeo.org/nspace/2014-living-data/,http://www.takeo.org,,,object,,,social,,,open,,,real-time,,,,,,,,,,,anonymised,,,yes,,,Lily
"Gemstone Jewellery",2014,screen_shot_2016-08-16_at_15-49-45.png,"Kate Sukpisan",http://www.katevisuth.net/germstone-jewelry,http://www.katevisuth.net,biological,,,,personal,,,,open,,,real-time,,,,,,generated,,,,,,identifiable,,yes,,,Lily
"Willamette River, Oregon",2015,dan_coe.jpg,"Dan Coe",http://www.dancoephoto.com/Geo-Designs/Maps/i-cQsPszR/A,http://www.dancoephoto.com,,environmental,,,,,,,open,shared,live,,geospatial,,,,causal,,,,,,,identifiable,,yes,,,Tess
"We Need Us",2014,weneedus__0003_layer_14.jpg,"Julie Freeman",http://weneedus.org,http://translatingnature.org,,,,,,social,,,open,,live,real-time,,,temporal,,,,metadata,processed,,,anonymised,,,yes,,"supported by Zooniverse",
unfold,2016,unfold_photo_01.jpg,"RYOICHI KUROKAWA",http://www.ryoichikurokawa.com/project/unfold.html,http://www.ryoichikurokawa.com/,,environmental,,,,,,,,,,,geospatial,,temporal,,,,,,retrieved,,,identifiable,,yes,,"artist doesn't refer to data at all on his site, nor type, license etc.",JF
