tag_id,r_id,time,row_id
024*787*013,4,17/04/17 00:15,3824918
045*124*561,5,17/04/17 00:15,3824919
045*124*561,5,17/04/17 00:15,3824920
045*124*561,5,17/04/17 00:15,3824921
045*124*561,5,17/04/17 00:15,3824922
037*310*599,5,17/04/17 00:15,3824923
024*787*013,4,17/04/17 00:15,3824924
840*120*383,1,17/04/17 00:15,3824925
034*330*827,5,17/04/17 00:15,3824926
034*330*827,6,17/04/17 00:15,3824927
840*120*383,1,17/04/17 00:15,3824928
034*330*827,6,17/04/17 00:15,3824929
034*330*827,2,17/04/17 00:15,3824930
037*099*377,5,17/04/17 00:15,3824931
037*099*377,5,17/04/17 00:15,3824932
034*330*827,2,17/04/17 00:15,3824933
037*099*377,5,17/04/17 00:15,3824934
034*330*827,2,17/04/17 00:16,3824935
034*330*827,2,17/04/17 00:16,3824936
045*124*561,5,17/04/17 00:16,3824937
045*124*561,5,17/04/17 00:16,3824938
045*124*561,5,17/04/17 00:16,3824939
045*124*561,5,17/04/17 00:16,3824940
034*330*827,2,17/04/17 00:16,3824941
034*330*827,2,17/04/17 00:16,3824942
037*099*377,5,17/04/17 00:16,3824943
045*124*561,5,17/04/17 00:16,3824944
037*099*377,5,17/04/17 00:16,3824945
034*330*827,2,17/04/17 00:16,3824946
045*124*561,5,17/04/17 00:16,3824947
037*099*377,5,17/04/17 00:16,3824948
045*124*561,5,17/04/17 00:16,3824949
840*122*030,3,17/04/17 00:16,3824950
037*099*377,5,17/04/17 00:16,3824951
045*124*561,5,17/04/17 00:17,3824952
840*122*030,2,17/04/17 00:17,3824953
045*124*561,5,17/04/17 00:17,3824954
045*124*561,5,17/04/17 00:17,3824955
045*124*561,5,17/04/17 00:17,3824956
045*124*561,5,17/04/17 00:17,3824957
034*330*827,2,17/04/17 00:17,3824958
045*124*561,5,17/04/17 00:17,3824959
037*099*377,5,17/04/17 00:17,3824960
840*122*030,2,17/04/17 00:17,3824961
045*124*561,5,17/04/17 00:17,3824962
034*330*827,2,17/04/17 00:17,3824963
045*124*561,5,17/04/17 00:17,3824964
045*124*561,5,17/04/17 00:17,3824965
045*124*561,5,17/04/17 00:17,3824966
034*330*827,2,17/04/17 00:17,3824967
840*122*030,2,17/04/17 00:17,3824968
840*122*030,2,17/04/17 00:17,3824969
045*124*561,5,17/04/17 00:17,3824970
034*330*827,2,17/04/17 00:17,3824971
045*124*561,5,17/04/17 00:17,3824972
045*124*561,5,17/04/17 00:17,3824973
034*330*827,2,17/04/17 00:17,3824974
045*124*561,5,17/04/17 00:17,3824975
034*330*827,2,17/04/17 00:17,3824976
045*124*561,5,17/04/17 00:18,3824977
045*124*561,5,17/04/17 00:18,3824978
045*124*561,5,17/04/17 00:18,3824979
045*124*561,5,17/04/17 00:18,3824980
045*124*561,5,17/04/17 00:18,3824981
045*124*561,5,17/04/17 00:18,3824982
037*099*377,5,17/04/17 00:18,3824983
037*099*377,5,17/04/17 00:18,3824984
045*124*561,5,17/04/17 00:18,3824985
037*099*377,5,17/04/17 00:18,3824986
045*124*561,5,17/04/17 00:18,3824987
045*124*561,5,17/04/17 00:18,3824988
045*124*561,5,17/04/17 00:18,3824989
045*124*561,5,17/04/17 00:18,3824990
045*124*561,5,17/04/17 00:18,3824991
045*124*561,5,17/04/17 00:18,3824992
034*330*827,2,17/04/17 00:18,3824993
045*124*561,5,17/04/17 00:18,3824994
034*330*827,2,17/04/17 00:18,3824995
045*124*561,5,17/04/17 00:18,3824996
034*330*827,2,17/04/17 00:19,3824997
034*330*827,2,17/04/17 00:19,3824998
045*124*561,5,17/04/17 00:19,3824999
034*330*827,2,17/04/17 00:19,3825000
045*124*561,5,17/04/17 00:19,3825001
034*330*827,2,17/04/17 00:19,3825002
045*124*561,5,17/04/17 00:19,3825003
045*124*561,5,17/04/17 00:19,3825004
045*124*561,5,17/04/17 00:19,3825005
045*124*561,5,17/04/17 00:19,3825006
045*124*561,5,17/04/17 00:19,3825007
840*122*030,6,17/04/17 00:19,3825008
045*124*561,5,17/04/17 00:19,3825009
045*124*561,5,17/04/17 00:19,3825010
045*124*561,5,17/04/17 00:19,3825011
045*124*561,5,17/04/17 00:19,3825012
045*124*561,5,17/04/17 00:19,3825013
045*124*561,5,17/04/17 00:20,3825014
045*124*561,5,17/04/17 00:20,3825015
045*124*561,5,17/04/17 00:20,3825016
045*124*561,5,17/04/17 00:20,3825017
045*124*561,5,17/04/17 00:20,3825018
045*124*561,5,17/04/17 00:20,3825019
840*120*383,1,17/04/17 00:20,3825020
045*124*561,5,17/04/17 00:20,3825021
045*124*561,5,17/04/17 00:20,3825022
045*124*561,5,17/04/17 00:20,3825023
034*330*827,2,17/04/17 00:20,3825024
045*124*561,5,17/04/17 00:20,3825025
840*120*383,5,17/04/17 00:20,3825026
045*124*561,5,17/04/17 00:20,3825027
037*099*377,5,17/04/17 00:20,3825028
045*124*561,5,17/04/17 00:20,3825029
045*124*561,5,17/04/17 00:20,3825030
045*124*561,5,17/04/17 00:20,3825031
045*124*561,5,17/04/17 00:20,3825032
840*122*030,5,17/04/17 00:21,3825033
